	Contrast	Compound_Name	Concentration	ConcLabel	Viability	Cytotoxicity	Teratogenicity	mEST
Amoxicillin_DoseA	Amoxycillin_DoseA	Amoxycillin	2e-04	6	0.9053756003774	0.0946243996225998	Negative	Negative
Amoxicillin_DoseB	Amoxycillin_DoseB	Amoxycillin	1e-04	5	0.977816937888136	0.0221830621118636	Negative	Negative
Amoxicillin_DoseC	Amoxycillin_DoseC	Amoxycillin	5e-05	4	0.912547677398922	0.0874523226010784	Negative	Negative
Amoxicillin_DoseD	Amoxycillin_DoseD	Amoxycillin	2.5e-05	3	0.906647927730668	0.0933520722693324	Negative	Negative
Amoxicillin_DoseE	Amoxycillin_DoseE	Amoxycillin	1.25e-05	2	0.975003633735454	0.0249963662645458	Negative	Negative
Amoxicillin_DoseF	Amoxycillin_DoseF	Amoxycillin	6.25e-06	1	0.870640417858649	0.129359582141351	Negative	Negative
Artesunate_DoseA	Artesunate_DoseA	Artesunate	4e-06	6	0.174586463241438	0.825413536758562	Positive	Negative
Artesunate_DoseB	Artesunate_DoseB	Artesunate	2e-06	5	0.367609140066309	0.632390859933691	Positive	Negative
Artesunate_DoseC	Artesunate_DoseC	Artesunate	1e-06	4	0.640717180727804	0.359282819272196	Positive	Negative
Artesunate_DoseD	Artesunate_DoseD	Artesunate	5e-07	3	0.818572381362096	0.181427618637904	Positive	Negative
Artesunate_DoseE	Artesunate_DoseE	Artesunate	2.5e-07	2	0.87451990184606	0.12548009815394	Positive	Negative
Artesunate_DoseF	Artesunate_DoseF	Artesunate	1.25e-07	1	0.911484567752953	0.0885154322470475	Positive	Negative
Ascorbic.Acid_DoseA	Ascorbic.Acid_DoseA	Ascorbic acid	9e-04	6	0.991558900363654	0.00844109963634587	Negative	Negative
Ascorbic.Acid_DoseB	Ascorbic.Acid_DoseB	Ascorbic acid	0.00045	5	1.05951433056579	-0.0595143305657904	Negative	Negative
Ascorbic.Acid_DoseC	Ascorbic.Acid_DoseC	Ascorbic acid	0.000225	4	1.01967480129959	-0.0196748012995944	Negative	Negative
Ascorbic.Acid_DoseD	Ascorbic.Acid_DoseD	Ascorbic acid	0.0001125	3	1.02831620086796	-0.0283162008679598	Negative	Negative
Ascorbic.Acid_DoseE	Ascorbic.Acid_DoseE	Ascorbic acid	5.625e-05	2	1.02829829352067	-0.028298293520669	Negative	Negative
Ascorbic.Acid_DoseF	Ascorbic.Acid_DoseF	Ascorbic acid	2.8125e-05	1	0.969217253721946	0.0307827462780541	Negative	Negative
Bosentan_DoseA	Bosentan_DoseA	Bosentan	0.00015	6	0.78654557054384	0.21345442945616	Positive	Negative
Bosentan_DoseB	Bosentan_DoseB	Bosentan	7.5e-05	5	0.908646309642148	0.091353690357852	Positive	Negative
Bosentan_DoseC	Bosentan_DoseC	Bosentan	3.75e-05	4	0.982189571473042	0.0178104285269582	Positive	Negative
Bosentan_DoseD	Bosentan_DoseD	Bosentan	1.875e-05	3	0.982564230430045	0.0174357695699553	Positive	Negative
Bosentan_DoseE	Bosentan_DoseE	Bosentan	9.375e-06	2	0.978593573476508	0.0214064265234921	Positive	Negative
Bosentan_DoseF	Bosentan_DoseF	Bosentan	4.6875e-06	1	1.02908181254461	-0.0290818125446077	Positive	Negative
Busulfan_DoseA	Busulfan_DoseA	Busulfan	4e-06	6	0.367095219705141	0.632904780294859	Positive	Negative
Busulfan_DoseB	Busulfan_DoseB	Busulfan	2e-06	5	0.635168908769925	0.364831091230075	Positive	Negative
Busulfan_DoseC	Busulfan_DoseC	Busulfan	1e-06	4	0.784856448178879	0.215143551821121	Positive	Negative
Busulfan_DoseD	Busulfan_DoseD	Busulfan	5e-07	3	0.854930156022511	0.145069843977489	Positive	Negative
Busulfan_DoseE	Busulfan_DoseE	Busulfan	2.5e-07	2	0.9616331588433	0.0383668411566995	Positive	Negative
Busulfan_DoseF	Busulfan_DoseF	Busulfan	1.25e-07	1	0.926861511903482	0.0731384880965185	Positive	Negative
Carbamazepine_DoseA	Carbamazepine_DoseA	Carbamazepine	3e-04	6	0.683820388645806	0.316179611354194	Positive	Negative
Carbamazepine_DoseB	Carbamazepine_DoseB	Carbamazepine	0.00015	5	0.739736465494318	0.260263534505682	Positive	Negative
Carbamazepine_DoseC	Carbamazepine_DoseC	Carbamazepine	7.5e-05	4	0.807355894791861	0.192644105208139	Positive	Negative
Carbamazepine_DoseD	Carbamazepine_DoseD	Carbamazepine	3.75e-05	3	0.888919823372563	0.111080176627437	Positive	Negative
Carbamazepine_DoseE	Carbamazepine_DoseE	Carbamazepine	1.875e-05	2	0.9230285188117	0.0769714811883003	Positive	Negative
Carbamazepine_DoseF	Carbamazepine_DoseF	Carbamazepine	9.375e-06	1	0.963233099161262	0.0367669008387383	Positive	Negative
Cetirizine_DoseA	Cetirizine_DoseA	Cetirizine	6e-04	6	0.00240507280294013	0.99759492719706	Negative	Negative
Cetirizine_DoseB	Cetirizine_DoseB	Cetirizine	3e-04	5	0.68075307603763	0.31924692396237	Negative	Negative
Cetirizine_DoseC	Cetirizine_DoseC	Cetirizine	0.00015	4	0.952768187096259	0.0472318129037415	Negative	Negative
Cetirizine_DoseD	Cetirizine_DoseD	Cetirizine	7.5e-05	3	0.879052587231968	0.120947412768032	Negative	Negative
Cetirizine_DoseE	Cetirizine_DoseE	Cetirizine	3.75e-05	2	0.920848733760081	0.0791512662399194	Negative	Negative
Cetirizine_DoseF	Cetirizine_DoseF	Cetirizine	1.875e-05	1	0.946975367610016	0.0530246323899844	Negative	Negative
Cyclopamine_DoseA	Cyclopamine_DoseA	Cyclopamine	2e-05	6	0.923935612259241	0.0760643877407593	Positive	Positive
Cyclopamine_DoseB	Cyclopamine_DoseB	Cyclopamine	1e-05	5	0.944097395867111	0.0559026041328885	Positive	Positive
Cyclopamine_DoseC	Cyclopamine_DoseC	Cyclopamine	5e-06	4	0.959707370948704	0.0402926290512957	Positive	Positive
Cyclopamine_DoseD	Cyclopamine_DoseD	Cyclopamine	2.5e-06	3	0.958781295607242	0.0412187043927581	Positive	Positive
Cyclopamine_DoseE	Cyclopamine_DoseE	Cyclopamine	1.25e-06	2	0.965440797629847	0.0345592023701534	Positive	Positive
Cyclopamine_DoseF	Cyclopamine_DoseF	Cyclopamine	6.25e-07	1	0.966679139292936	0.0333208607070635	Positive	Positive
