"","genes","TS","SD"
"1","LEPR",52.618170473155,1.45938432429801
"2","EBF1",35.6589495961435,1.23737519327633
"3","ATP2A2",34.6157278136102,1.13335039302213
"4","ENPP1",32.7113536197212,1.40360808039931
"5","WNT11",32.0449091116092,1.24942027607351
"6","TP73",31.8017616391264,1.12887484560775
"7","CASP3",18.0822879540655,1.10569630347578
"8","NRF1",17.9210784510227,1.15184842893509
"9","TIMP1",17.8187820971795,1.33469894997217
"10","NRAS",15.7579858279549,1.40384776038927
"11","ABCF1",14.1566502708158,0.900264944697346
"12","PLOD2",12.9925539004198,1.41581555997932
"13","SLC38A5",12.959577478356,1.23568699761385
"14","SREBF2",11.097518142873,1.30162126596982
"15","CDKN1A",10.5967248362423,1.5608083638912
"16","PI4KB",10.3938684988329,1.37334799910513
"17","GADD45A",10.3420426859149,1.51776669326853
"18","GJA1",10.0627975998712,1.39865535612419
"19","GGT1",9.90219280372919,1.06355361011818
"20","CCNG2",9.52105309059822,1.1733325866139
"21","SLC28A3",9.38337302170057,1.34160647035376
"22","FMO1",8.83257656264381,1.49762816115626
"23","MTOR",8.70489362935865,0.948264706824505
"24","DDR1",8.67308207158772,1.23570624356091
"25","TGFB3",8.50876363139103,0.890155429329757
"26","PA2G4",8.45434064516163,0.929571231987796
"27","NOTCH3",6.72239567932131,0.994607517646616
"28","DAXX",6.63353588898855,1.06453025324116
"29","ATF6",6.37485145118851,1.25671768402774
"30","MAP3K7",6.24853957771895,1.19393745423681
"31","DIABLO",5.93048881969028,1.18932004919346
"32","TSC1",5.6248022114305,1.59221845490584
"33","NPM1",5.39122153941488,0.916983433855337
"34","ASGR1",5.32583863692037,1.0445135634819
"35","ODC1",5.07220948059725,0.950847378345083
"36","TGM2",5.01062139512682,1.15621413931319
"37","PRKCA",4.98800410383806,1.25879178380411
"38","GCLC",4.86675712987093,1.22508112135912
"39","AKT3",4.8224195484116,1.516690110176
"40","CDKN2C",4.79393852467756,0.624653683120664
"41","FADD",4.77752922567478,1.46075460173082
"42","RASSF1",4.59835810064777,1.04227396417502
"43","ATG5",4.57090082606987,0.882703298517535
"44","ID1",4.50325840362949,1.60533455429689
"45","CDKN2D",4.47006001809418,1.65733250882254
"46","PLCG1",4.44388528584527,1.3795454146975
"47","ITGAV",4.43297364038401,1.32777807327915
"48","COL2A1",4.41040907499132,1.2680272591896
"49","CXCL5",4.33179986915875,1.0432816435318
"50","PNMT",4.30846876990511,1.65177483053522
"51","ESR2",4.13505336880782,1.11996199917552
"52","MAF",4.08489549875477,1.69537513413928
"53","BHLHE40",4.01477973993737,1.43026281360555
"54","JUN",4.01090409573005,0.831403042450446
"55","MICA",3.97668462131681,1.92926944841808
"56","MSX1",3.8657551697573,1.5930952742232
"57","GAP43",3.7906422468346,1.54484130910903
"58","SCO2",3.74509659977569,1.29284732450239
"59","PLAUR",3.69266987825045,1.52817741939611
"60","SESN1",3.63649309043387,1.29970576327108
"61","MMP11",3.61300266574737,2.06681369294091
"62","HPRT1",3.60985494503402,1.30147710192493
"63","LEFTY2",3.55628811580307,1.49723147757673
"64","EIF2AK2",3.54477059211755,1.20930287083628
"65","FARSA",3.53076647703292,1.09910112468338
"66","CX3CL1",3.52492520938992,0.989945936251196
"67","FLT1",3.52295263283489,1.36536854500176
"68","MGST3",3.4067387657458,1.24618392802672
"69","IGFBP6",3.36393678910165,1.88195256812159
"70","MAOA",3.36132734794534,1.39478814461499
"71","FGFR3",3.29867120267091,1.21722998995547
"72","PML",3.28725825006498,1.30196885055353
"73","ABCC3",3.24412067741048,1.39650679746778
"74","CCND2",3.23503703872371,0.944590697146816
"75","PAPLN",3.00716053049142,1.04417912935312
"76","NFKBIA",3.00221920261455,1.75333182636886
"77","IFI27",3.00026611565426,1.0170989417994
"78","SLC22A3",2.9853784925404,1.41227821364488
"79","FOSL1",2.95505104878188,1.44459885359105
"80","DST",2.92636572108197,1.25899338900516
"81","FABP7",2.87170653676168,1.22433179772492
"82","EZH2",2.82019286187424,1.22433494246466
"83","PMEPA1",2.81735143011477,1.35790574153235
"84","CDH11",2.80963770721147,2.20625385530037
"85","HMGCR",2.80580303226967,1.11621148667287
"86","ADRB2",2.80370170497547,1.76572205613883
"87","MUC1",2.7993953389952,1.27790843898321
"88","SON",2.79638946787411,1.08365377826654
"89","PIK3CA",2.75050357866443,1.22508190092983
"90","BDKRB1",2.73426917343454,1.65175913415622
"91","ADSS1",2.71744194421809,1.24475891107945
"92","CH25H",2.71558920619274,1.08634352772018
"93","ADM",2.70948392678546,1.16504566687261
"94","HEXA",2.68012741824649,1.37551700518193
"95","SYN1",2.65609400028168,1.99583128250094
"96","HLX",2.65314228941534,1.04190111065191
"97","APOBEC3G",2.64692854377238,1.35320454811478
"98","IFNA1",2.64585981167858,1.12249379224708
"99","ARNTL",2.60919393102905,1.16936945306192
"100","PTPN11",2.6029690294998,1.29784218059845
"101","ABCA12",2.59827803488636,1.33316019595709
"102","TRAF6",2.58282487146088,1.09474662801082
"103","GPX1",2.58236523648882,0.953890039309311
"104","ALDH6A1",2.58169494881719,1.20912251141451
"105","JARID2",2.57331781516021,0.951153368137741
"106","CCNE1",2.53958943898143,1.51564850698024
"107","ABCG1",2.53912716633078,1.19400042730827
"108","GALNT1",2.52117425169678,1.44846993710241
