	FeatureName	Transcript	Amplicon	GeneID	GeneSymbol	AmpliconSize	IsGeneCard
SULT1C2	NM_176825	NM_176825	AMPL17111663	6819	SULT1C2	106	FALSE
CYP1B1	NM_000104	NM_000104	AMPL1643513	1545	CYP1B1	110	FALSE
RARB	NM_000965	NM_000965	AMPL3877085	5915	RARB	108	FALSE
TREX1	NM_016381	NM_016381	AMPL31797718	11277	TREX1	109	FALSE
HOPX	NM_139211	NM_139211	AMPL34269818	84525	HOPX	108	TRUE
IFIT1	NM_001548	NM_001548	AMPL11109742	3434	IFIT1	101	FALSE
HEY1	NM_012258	NM_012258	AMPL12682243	23462	HEY1	101	TRUE
ARNTL	NM_001178	NM_001178	AMPL10829423	406	ARNTL	109	FALSE
REL	NM_002908	NM_002908	AMPL11438231	5966	REL	100	FALSE
TEAD1	NM_021961	NM_021961	AMPL35980795	7003	TEAD1	108	FALSE
PCNA	NM_182649	NM_182649	AMPL20801767	5111	PCNA	102	FALSE
CACNA1C	NM_001129827	NM_001129827	AMPL4401192	775	CACNA1C	106	FALSE
EPAS1	NM_001430	NM_001430	AMPL9538405	2034	EPAS1	110	FALSE
ACOX1	NM_004035	NM_004035	AMPL29431396	51	ACOX1	107	FALSE
ID4	NM_001546	NM_001546	AMPL9155660	3400	ID4	106	FALSE
SLC22A4	NM_003059	NM_003059	AMPL9978365	6583	SLC22A4	107	FALSE
THBS1	NM_003246	NM_003246	AMPL7574426	7057	THBS1	105	FALSE
TNFRSF1A	NM_001065	NM_001065	AMPL1848482	7132	TNFRSF1A	103	FALSE
ICAM1	NM_000201	NM_000201	AMPL3345029	3383	ICAM1	106	FALSE
TGFB3	NM_003239	NM_003239	AMPL11509767	7043	TGFB3	104	FALSE
INSIG2	NM_016133	NM_016133	AMPL32382100	51141	INSIG2	104	FALSE
OPTN	NM_021980	NM_021980	AMPL35766733	10133	OPTN	104	FALSE
RGS4	NM_001102445	NM_001102445	AMPL6244701	5999	RGS4	98	TRUE
MCAM	NM_006500	NM_006500	AMPL27633817	4162	MCAM	108	FALSE
SMAD7	NM_005904	NM_005904	AMPL26877416	4092	SMAD7	102	FALSE
SDC1	NM_002997	NM_002997	AMPL11313720	6382	SDC1	109	FALSE
ALDH1A3	NM_000693	NM_000693	AMPL4077113	220	ALDH1A3	109	FALSE
SLC38A5	NM_033518	NM_033518	AMPL16315427	92745	SLC38A5	105	FALSE
TEK	NM_000459	NM_000459	AMPL6164064	7010	TEK	106	FALSE
L1CAM	NM_000425	NM_000425	AMPL2635283	3897	L1CAM	108	FALSE
GADD45A	NM_001924	NM_001924	AMPL10343714	1647	GADD45A	106	FALSE
TNFAIP3	NM_006290	NM_006290	AMPL30030986	7128	TNFAIP3	109	FALSE
PPP1R3C	NM_005398	NM_005398	AMPL28286020	5507	PPP1R3C	105	FALSE
MAP3K7	NM_145331	NM_145331	AMPL34612698	6885	MAP3K7	109	FALSE
SPI1	NM_001080547	NM_001080547	AMPL4939369	6688	SPI1	111	FALSE
FADD	NM_003824	NM_003824	AMPL29805134	8772	FADD	104	FALSE
KLF10	NM_005655	NM_005655	AMPL26831751	7071	KLF10	106	FALSE
STAT3	NM_139276	NM_139276	AMPL34373921	6774	STAT3	105	FALSE
DNMT1	NM_001130823	NM_001130823	AMPL5786951	1786	DNMT1	110	FALSE
ZNF202	NM_003455	NM_003455	AMPL6994704	7753	ZNF202	109	FALSE
PLAU	NM_002658	NM_002658	AMPL9700188	5328	PLAU	102	FALSE
